"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2020",193930.499830653,192702.580304351,195158.419356954,192052.558971955,195808.440689351
"Feb 2020",194836.433276392,193384.58273784,196288.283814943,192616.019488136,197056.847064647
"Mar 2020",194401.012198035,192620.752888973,196181.271507098,191678.340537592,197123.683858479
"Apr 2020",196204.11032231,194029.620211195,198378.600433426,192878.514679412,199529.705965209
"May 2020",197202.121248564,194596.686337857,199807.556159271,193217.452409367,201186.79008776
"Jun 2020",197933.932838698,194879.211940224,200988.653737173,193262.140376498,202605.725300899
